,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
56,Wow.,7xQAfvXzm3AkraOtGPWIZg,149546,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,11,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96
57,The Sea Is Rising,7bt0XFnfxmJlY4o7xkGzHX,335866,https://open.spotify.com/track/7bt0XFnfxmJlY4o7xkGzHX,0.672,0.846,5,-6.364,0.392,0.13,0.0,0.822,0.623,86.017
58,katana,6HgvW7GRxVZiMc7TlVvGG2,149443,https://open.spotify.com/track/6HgvW7GRxVZiMc7TlVvGG2,0.623,0.464,4,-10.619,0.31,0.0644,0.0,0.333,0.706,180.113
59,Apparently,5O59s7bCgTFsXDXlWecyQ1,292865,https://open.spotify.com/track/5O59s7bCgTFsXDXlWecyQ1,0.802,0.544,5,-9.212,0.0686,0.605,0.0,0.102,0.57,133.992
60,hopeless romantic (feat. Travis Barker),6Jg3EeDICY79tUMfXNbS9Y,168986,https://open.spotify.com/track/6Jg3EeDICY79tUMfXNbS9Y,0.508,0.763,10,-5.388,0.0442,0.000434,0.0,0.185,0.496,187.026
61,options,4PlExdV1rjY0AYDv8vcDzZ,102653,https://open.spotify.com/track/4PlExdV1rjY0AYDv8vcDzZ,0.709,0.69,11,-5.163,0.038,0.0197,0.0,0.141,0.0847,94.499
62,Sunshine,5r43qanLhUCdBj8HN3fa6B,163854,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,0.034,0.137,0.0,0.28,0.774,140.069
63,let you,5OJmt1xiOHZJGx8wTUAjEC,151724,https://open.spotify.com/track/5OJmt1xiOHZJGx8wTUAjEC,0.593,0.848,7,-5.059,0.0888,0.241,0.0,0.139,0.7,170.202
64,Sofia,4PEqbNYd7kQPSOYz8kTwYJ,158700,https://open.spotify.com/track/4PEqbNYd7kQPSOYz8kTwYJ,0.869,0.639,1,-5.324,0.0874,0.0493,0.0,0.111,0.365,99.958
65,Darkside,6IxHk0uFSBTwTiNDsWfqIv,154870,https://open.spotify.com/track/6IxHk0uFSBTwTiNDsWfqIv,0.695,0.869,5,-6.914,0.0264,0.71,0.0,0.343,0.92,123.991
66,Zone,0xl5SmrxNAmwc92Ihv9e5s,199714,https://open.spotify.com/track/0xl5SmrxNAmwc92Ihv9e5s,0.722,0.551,2,-6.852,0.0397,0.25,6.39e-05,0.162,0.531,139.983
67,Back Again,0knu6OheaYzHPvyf5gL7eX,198120,https://open.spotify.com/track/0knu6OheaYzHPvyf5gL7eX,0.652,0.795,6,-4.133,0.155,0.74,0.0,0.291,0.439,95.797
68,Niche,2aGmr2Li6s1SdevG3RDrbR,186089,https://open.spotify.com/track/2aGmr2Li6s1SdevG3RDrbR,0.844,0.542,5,-7.037,0.0654,0.336,2.03e-06,0.17,0.647,140.03
69,The Motto,4Kz4RdRCceaA9VgTqBhBfa,181573,https://open.spotify.com/track/4Kz4RdRCceaA9VgTqBhBfa,0.766,0.442,1,-8.558,0.356,0.000107,6.12e-05,0.111,0.39,201.8
70,tonight,5SIEkmm5ag43KD7CMKvh1E,161351,https://open.spotify.com/track/5SIEkmm5ag43KD7CMKvh1E,0.826,0.484,0,-9.307,0.042,0.648,0.124,0.11,0.424,125.039
71,Wake Up,2CXF3c5KrBsXZygtyQJtq9,158316,https://open.spotify.com/track/2CXF3c5KrBsXZygtyQJtq9,0.775,0.658,2,-5.119,0.175,0.0988,0.0,0.111,0.325,139.978
